iteration,convergenceIndicator,phase,Cl_pop,V_pop,a,b,ka_pop,omega_Cl,omega_V,omega_ka
65,278.045,1,0.0397316,0.450155,0.42963,0.0573833,1.44895,0.254166,0.193711,0.655556
66,279.502,1,0.0398026,0.454405,0.47167,0.0495342,1.49848,0.258737,0.188807,0.638957
67,282.304,1,0.040859,0.452747,0.486358,0.048373,1.50236,0.252185,0.184026,0.63618
68,279.758,1,0.0399608,0.455733,0.43639,0.0547841,1.54828,0.273944,0.179366,0.624741
69,280.958,1,0.0402042,0.456796,0.482428,0.0481899,1.59736,0.267007,0.174825,0.637667
70,285.584,1,0.0400889,0.458258,0.514933,0.0436499,1.60153,0.260247,0.176231,0.644749
71,280.35,1,0.0393452,0.465349,0.492247,0.0481377,1.56653,0.253657,0.171769,0.628424
72,281.54,1,0.038666,0.459413,0.473311,0.0507396,1.55669,0.247234,0.167419,0.647263
73,283.209,1,0.0393126,0.459778,0.4811,0.0515946,1.54491,0.240974,0.16318,0.66735
74,277.772,1,0.0388761,0.455358,0.471284,0.04753,1.52694,0.244965,0.159048,0.684374
75,276.601,1,0.0402507,0.45754,0.487977,0.0446476,1.56411,0.238762,0.155021,0.697067
76,274.106,1,0.0405164,0.448502,0.515947,0.0390594,1.51706,0.246881,0.151096,0.679417
77,270.99,1,0.0414096,0.448384,0.464087,0.0478143,1.49252,0.26053,0.14727,0.662214
78,265.843,1,0.0413487,0.448318,0.453204,0.047047,1.48226,0.26086,0.143541,0.653679
79,271.656,1,0.040135,0.445505,0.375572,0.0635187,1.46683,0.262447,0.139907,0.727008
80,273.523,1,0.039588,0.450932,0.391983,0.0613351,1.48495,0.260538,0.139722,0.7086
81,269.698,1,0.0399356,0.449308,0.367869,0.0651552,1.46593,0.263003,0.136184,0.690658
82,272.359,1,0.039415,0.44971,0.398423,0.0602563,1.46723,0.272756,0.132736,0.67454
83,269.678,1,0.0399907,0.451837,0.393374,0.0606374,1.48253,0.26585,0.132717,0.65746
84,270.794,1,0.0403587,0.452419,0.455115,0.0494195,1.49984,0.267656,0.131449,0.640813
85,270.209,1,0.0395687,0.456305,0.424222,0.0535427,1.56243,0.261021,0.134571,0.69065
86,267.479,1,0.0404769,0.455221,0.399188,0.0587222,1.51202,0.264977,0.131163,0.673162
87,268.088,1,0.039839,0.455061,0.376564,0.0616645,1.56163,0.268754,0.130006,0.707881
88,266.709,1,0.0401704,0.45265,0.445774,0.0488046,1.58793,0.261949,0.126714,0.717612
89,269.442,1,0.0405841,0.450132,0.448062,0.0506331,1.56224,0.259117,0.123506,0.699442
90,271.43,1,0.0402449,0.453419,0.441988,0.0534642,1.50271,0.258999,0.120378,0.681732
91,271.113,1,0.0397856,0.452352,0.440684,0.0518343,1.51408,0.259046,0.127374,0.691809
92,274.645,1,0.0392554,0.461429,0.433044,0.0559604,1.52762,0.255978,0.137369,0.674292
93,275.524,1,0.0397859,0.467117,0.453652,0.0523365,1.59899,0.259096,0.136665,0.657218
94,280.988,1,0.0395276,0.473492,0.425479,0.0614921,1.59274,0.259897,0.144372,0.640577
95,282.144,1,0.0402214,0.460044,0.43579,0.0584099,1.53137,0.263797,0.144984,0.667979
96,279.679,1,0.0397972,0.456899,0.418889,0.0618294,1.49197,0.273881,0.141313,0.651066
97,278.04,1,0.0405297,0.446775,0.420329,0.0614292,1.43591,0.266946,0.137735,0.63458
98,272.767,1,0.0408994,0.455683,0.424635,0.0584359,1.48156,0.260187,0.134248,0.631672
99,273.988,1,0.0397307,0.461369,0.441042,0.0545819,1.52307,0.253599,0.144302,0.637362
100,269.671,1,0.0396271,0.465628,0.421328,0.0550846,1.5315,0.261347,0.140648,0.651475
101,269.28,1,0.0403106,0.45827,0.495323,0.0395102,1.54556,0.25473,0.150152,0.652666
102,271.448,1,0.0400839,0.458204,0.406367,0.0572771,1.55181,0.24828,0.16058,0.669043
