iteration,convergenceIndicator,phase,Cl_pop,V_pop,a,b,ka_pop,omega_Cl,omega_V,omega_ka
273,268.348,2,0.0403772,0.453599,0.425024,0.0554422,1.52756,0.272574,0.125138,0.691657
274,275.91,2,0.0403782,0.453608,0.424359,0.0556278,1.52688,0.272409,0.125345,0.690484
275,276.506,2,0.0403795,0.45367,0.424313,0.0557048,1.52666,0.272367,0.125365,0.689667
276,269.599,2,0.0403792,0.453641,0.423743,0.0558387,1.52576,0.272375,0.125143,0.688291
277,268.461,2,0.0403874,0.453668,0.423139,0.0559492,1.52459,0.272577,0.125137,0.686647
278,273.521,2,0.0403915,0.453763,0.424055,0.0558011,1.52515,0.272275,0.125143,0.68651
279,273.138,2,0.0403926,0.453891,0.424422,0.0557471,1.52633,0.272306,0.125166,0.685883
280,271.832,2,0.0403886,0.453992,0.424568,0.055711,1.52736,0.27221,0.125305,0.68535
281,273.595,2,0.0403863,0.454052,0.424886,0.0556803,1.52735,0.27213,0.125384,0.684101
282,272.119,2,0.040386,0.45401,0.425872,0.055459,1.52774,0.272052,0.125625,0.683741
283,273.621,2,0.040388,0.454078,0.425597,0.0555466,1.52762,0.271906,0.125608,0.683601
284,274.28,2,0.0403799,0.454063,0.425779,0.0555405,1.52782,0.271721,0.125506,0.683844
285,274.06,2,0.0403766,0.454152,0.425663,0.055593,1.52886,0.271766,0.125334,0.684029
286,267.966,2,0.0403587,0.454172,0.426036,0.0554962,1.52902,0.271804,0.125198,0.683238
287,271.526,2,0.0403649,0.454286,0.425901,0.0555653,1.52915,0.271593,0.125058,0.682534
288,268.898,2,0.0403696,0.454373,0.426327,0.0554857,1.52976,0.271648,0.124856,0.681835
289,270.535,2,0.0403689,0.454385,0.426824,0.0553814,1.52988,0.271935,0.124728,0.681182
290,265.896,2,0.0403644,0.454338,0.427181,0.055251,1.52963,0.27222,0.12458,0.681143
291,272.183,2,0.04035,0.45432,0.42684,0.0553452,1.52881,0.272221,0.124434,0.680301
292,269.884,2,0.0403336,0.45439,0.426705,0.0553638,1.52858,0.272103,0.124455,0.679749
293,265.789,2,0.0403169,0.454435,0.426776,0.0553001,1.52837,0.272297,0.124439,0.678836
294,272.631,2,0.0403083,0.454499,0.426493,0.0553846,1.52853,0.272138,0.124386,0.678321
295,267.932,2,0.0403078,0.454538,0.426013,0.0554537,1.52839,0.271906,0.124455,0.678319
296,271.841,2,0.0403118,0.454539,0.42574,0.0555131,1.52815,0.271733,0.124527,0.678243
297,273.008,2,0.0403155,0.454662,0.425934,0.0555059,1.52808,0.271797,0.124504,0.677555
298,265.629,2,0.0403064,0.454743,0.426,0.0554596,1.52827,0.271867,0.124376,0.677194
299,274.226,2,0.0403062,0.454775,0.426543,0.0553682,1.52839,0.271981,0.124357,0.677053
300,279.961,2,0.0403047,0.454737,0.426849,0.0553377,1.5291,0.271803,0.124637,0.677098
301,268.943,2,0.0403048,0.454718,0.427438,0.0552158,1.52841,0.271582,0.124731,0.676167
302,272.519,2,0.0403078,0.454724,0.427752,0.0551646,1.52822,0.271387,0.124853,0.675668
303,276.167,2,0.0402966,0.454739,0.428824,0.054984,1.52837,0.271346,0.124898,0.675107
304,275.307,2,0.0402883,0.454808,0.42887,0.0549912,1.5283,0.271277,0.125064,0.674766
305,272.933,2,0.0402879,0.454809,0.429521,0.0548603,1.52899,0.271222,0.125133,0.674647
306,274.851,2,0.0402948,0.454784,0.429564,0.0548624,1.52918,0.271338,0.125139,0.674834
307,269.991,2,0.0402884,0.45469,0.429925,0.0547732,1.52868,0.271247,0.125193,0.67448
308,267.205,2,0.040287,0.454652,0.429427,0.0548373,1.52776,0.271046,0.12537,0.674093
309,274.323,2,0.0402904,0.454636,0.42962,0.0547858,1.52737,0.270974,0.125687,0.674042
310,274.504,2,0.040293,0.454609,0.429675,0.0547826,1.52707,0.271002,0.125803,0.673789
311,275.292,2,0.0402918,0.454613,0.429441,0.0548349,1.52684,0.271162,0.125912,0.673597
312,272.162,2,0.0402984,0.454608,0.429699,0.0547761,1.52709,0.271129,0.126004,0.673596
313,270.505,2,0.0402933,0.454698,0.42893,0.0549168,1.52711,0.270958,0.126109,0.673731
314,275.664,2,0.040283,0.454768,0.429668,0.0547987,1.5276,0.270778,0.126179,0.673311
315,278.829,2,0.0402698,0.4549,0.430216,0.0547197,1.52851,0.27061,0.126304,0.673577
316,274.079,2,0.0402607,0.454982,0.430698,0.0546178,1.52946,0.270423,0.126437,0.674038
317,270.099,2,0.040261,0.454979,0.430997,0.0545442,1.52977,0.270162,0.126488,0.67438
318,278.354,2,0.0402552,0.454956,0.431613,0.0544445,1.53006,0.270083,0.126562,0.674651
319,269.602,2,0.0402482,0.455017,0.431675,0.0544154,1.53058,0.27005,0.126576,0.67453
320,269.87,2,0.0402427,0.455108,0.431652,0.054403,1.53134,0.269993,0.126629,0.674448
321,275.423,2,0.0402325,0.455143,0.431634,0.0544319,1.53166,0.269923,0.126587,0.674294
322,272.714,2,0.0402219,0.45521,0.431979,0.0543717,1.53168,0.269855,0.126627,0.673907
323,272.353,2,0.0402178,0.455225,0.432446,0.0543018,1.53176,0.269944,0.126439,0.673459
324,273.773,2,0.0402127,0.455221,0.431896,0.0544383,1.53133,0.26976,0.126442,0.672867
325,263.907,2,0.0402108,0.455232,0.431763,0.0544131,1.53144,0.269831,0.126409,0.672932
326,276.191,2,0.0402056,0.455189,0.432109,0.0543534,1.53173,0.269872,0.126436,0.673029
327,275.24,2,0.0402002,0.45523,0.432456,0.0543041,1.53185,0.269667,0.126533,0.672845
328,270.458,2,0.0402005,0.455239,0.432743,0.054246,1.53208,0.269643,0.126469,0.672734
329,273.796,2,0.0402052,0.455193,0.432985,0.0541967,1.53201,0.269757,0.126459,0.672953
330,272.972,2,0.0402027,0.455173,0.432854,0.0542323,1.53176,0.269891,0.126371,0.672751
331,279.579,2,0.0401943,0.455233,0.432582,0.0543239,1.53223,0.269898,0.126353,0.672848
332,273.599,2,0.0401874,0.455249,0.432832,0.0542754,1.53236,0.269945,0.126357,0.672851
333,269.426,2,0.040181,0.455278,0.433014,0.0542038,1.53275,0.270088,0.126415,0.672985
334,275.82,2,0.0401797,0.455282,0.433213,0.0541851,1.53285,0.270251,0.126305,0.673031
335,271.986,2,0.0401801,0.455283,0.433324,0.054161,1.53297,0.270422,0.126274,0.672741
336,268.734,2,0.0401856,0.455306,0.43363,0.0540973,1.53308,0.27047,0.126197,0.672379
337,273.128,2,0.040183,0.455313,0.4333,0.0541711,1.533,0.2705,0.126213,0.671945
338,277.699,2,0.0401828,0.45533,0.432668,0.0543346,1.53265,0.270453,0.126255,0.671378
339,278.555,2,0.0401813,0.455383,0.433014,0.0542969,1.53271,0.27054,0.126287,0.671103
340,273.567,2,0.0401783,0.455451,0.433072,0.0542776,1.5333,0.270609,0.12634,0.67133
341,275.744,2,0.0401801,0.455469,0.432676,0.0543751,1.53297,0.270693,0.126327,0.671322
342,272.445,2,0.0401811,0.455431,0.433191,0.0542776,1.53243,0.270686,0.126318,0.671135
343,267.316,2,0.0401839,0.455431,0.433282,0.0542549,1.53214,0.270546,0.126275,0.670786
344,271.977,2,0.0401751,0.455476,0.433348,0.0542428,1.53219,0.270515,0.126272,0.670614
345,276.502,2,0.0401724,0.455504,0.43328,0.0542595,1.53264,0.270623,0.126281,0.671055
