rep,id,eta_ka,eta_V,eta_k,eta_k12,eta_k21,eta_km,eta_Kpm
4,10,-0.225915,0.0160275,0.0794845,0.158956,-0.0996065,0.218009,0.000595521
5,10,-0.139859,0.0863944,-0.051417,-0.035363,-0.0323843,0.142357,0.0136937
6,10,-0.186331,0.0953511,-0.0886391,0.125015,-0.0819029,0.188607,-0.0368105
7,10,-0.185302,0.111101,-0.106248,-0.0545108,-0.0792424,0.185817,-0.0164254
1,11,-0.112743,-0.10803,-0.0144831,0.141085,-0.0561848,-0.0193099,0.00162459
2,11,-0.0694403,-0.119433,0.019393,0.00119407,0.0262921,-0.101821,-0.0226103
3,11,-0.103569,-0.0584383,-0.0821579,0.00958667,-0.00310375,-0.0518758,0.0219078
4,11,-0.0520293,-0.080877,-0.051808,-0.0032293,-0.00927958,-0.0390185,0.01826
5,11,-0.120956,-0.0619534,-0.0344815,-0.084533,0.0835839,-0.0736434,0.00187382
6,11,0.0586884,-0.120687,0.0184295,0.169491,0.0909298,-0.0239022,-0.00389826
7,11,-0.0852352,-0.109049,-0.00723879,0.00836303,-0.175303,-0.0451717,0.022605
1,12,0.118363,0.0323329,-0.0373659,0.0107101,-0.0905007,0.105512,-0.0351283
2,12,0.188458,-0.0435407,0.0820271,-0.0081121,-0.0524201,0.065436,-0.0176437
3,12,0.209957,0.003858,-0.0135204,-0.133464,0.0698617,0.0707913,-0.00836248
4,12,0.0912234,-0.0760251,0.118643,-0.0975327,-0.0342442,0.0419707,-0.0132643
5,12,0.01216,-0.0882729,0.103114,-0.088854,0.0464863,0.11932,-0.00890575
6,12,0.280002,0.0570793,-0.0496353,-0.10718,-0.031762,0.00916898,-0.0113764
7,12,0.122824,0.0086475,0.0964813,-0.088466,0.0271678,-0.00643064,-1.22935e-05
1,13,-0.0745284,-0.0143414,0.0539201,-0.0239079,0.126154,-0.078208,0.0207626
2,13,-0.09166,-0.038387,0.0198567,-0.0861334,-0.0804137,-0.0368941,0.00792437
3,13,-0.0169831,0.0278979,-0.0576895,0.14301,0.111817,-0.0994733,-0.0116992
4,13,-0.0499754,-0.0186808,-0.0732223,-0.0856898,0.0336121,-0.0470785,-0.0200934
5,13,-0.0457217,0.00117933,0.0390767,-0.116019,-0.0593647,-0.0689752,-0.00383146
6,13,-0.0345524,-0.0260373,-0.00561301,0.0646481,0.0806032,-0.0551605,0.0317687
7,13,0.0153094,0.0207104,-0.0406049,-0.0238064,-0.133546,-0.0706041,0.0116342
1,14,0.0916676,0.0461865,-0.0542343,-0.0225247,-0.0346897,-0.0420557,0.00899187
2,14,0.0330592,-0.0230465,0.14517,-0.143834,0.12364,-0.0523555,0.0217506
3,14,0.14857,0.0205687,0.0384592,0.0557478,0.0736882,-0.0730107,0.0487527
4,14,0.201917,0.07931,-0.0313038,-0.0445043,-0.0314997,-0.0579754,-0.00511131
5,14,0.239011,0.166058,-0.160557,-0.0149852,0.0923103,-0.128735,-0.00703919
6,14,0.149699,0.035714,-0.0633839,-0.0517544,0.109948,-0.00556503,0.00610509
7,14,0.0980317,-0.0386548,0.112854,-0.0828107,0.113118,-0.115974,-0.00964066
1,15,-0.0594194,0.139657,0.145491,-0.0626777,0.101867,0.0387285,0.0148699
2,15,-0.0283667,0.164235,0.0720638,0.142484,0.0454102,0.0561064,-0.0295984
3,15,0.116146,0.213322,-0.0301602,0.131641,0.0694637,0.0572738,0.006376
4,15,-0.0704611,0.226202,-0.0711749,0.0515739,-0.163553,0.0374858,0.00990388
5,15,-0.0298756,0.129401,0.0355895,-0.0805695,0.0624054,0.0777405,0.0415264
6,15,0.0717728,0.19825,-0.0317015,0.129143,0.1323,0.067781,0.0082656
7,15,-0.137135,0.0883975,0.190736,0.0431807,0.159967,0.083052,0.00426014
1,16,0.11279,-0.0855322,0.0324807,-0.10203,-0.0932308,-0.0484352,-0.0360313
2,16,0.115479,-0.0273043,-0.0240972,0.0620979,0.0870244,-0.107385,0.0190395
3,16,0.0898178,-0.0415717,0.0840933,-0.0364243,0.0209518,-0.0960432,0.0268837
4,16,0.225633,-0.0252346,0.00341349,0.0740078,0.151643,-0.0741048,0.0106979
5,16,0.156224,-0.0351451,0.0152179,0.102811,0.116887,-0.113863,-0.00587971
6,16,0.0974138,-0.0445742,-0.0635096,-0.00738124,0.10156,-0.0375269,-0.0118779
7,16,0.00226014,-0.118615,0.123953,-0.106097,-0.0454034,-0.0512607,0.0180498
1,17,0.111997,-0.0790591,-0.00400149,-0.0965296,-0.0166725,-0.0298816,0.0196812
2,17,0.224434,-0.0934303,0.0347636,-0.119748,0.0965899,-0.0483839,-0.0110912
3,17,0.0965043,-0.0350574,-0.0444908,-0.236374,-0.0405714,-0.0483198,-0.000813616
4,17,0.158434,-0.0905649,0.0167965,0.0322984,0.0558401,-0.0114315,0.0485597
5,17,0.196393,-0.0874606,-0.0610703,0.0484497,0.0654807,0.0347619,0.00443123
6,17,0.133578,-0.0659312,0.108316,-0.00113255,-0.0331139,-0.158042,-0.000867131
7,17,0.225502,-0.0576857,-0.00745755,-0.104287,0.0477023,-0.0592781,0.0258872
1,18,-0.0349703,-0.0844702,0.0536558,-0.0785358,0.00523807,0.0201775,0.00734494
2,18,-0.0146158,-0.010839,0.042379,-0.0862594,0.187947,-0.0560346,-0.0356836
3,18,0.000335703,-0.0404344,0.087953,-0.056296,0.194023,-0.0219502,0.0257885
4,18,-0.0387007,-0.00642295,0.0178125,-0.137998,-0.0229928,0.0107121,0.0117421
5,18,0.0522858,-0.000274862,-0.00400279,-0.13306,0.118765,-0.0683004,-0.0240305
6,18,0.0961743,0.0183449,-0.0274471,0.0443196,0.294876,-0.0421843,-0.0298345
7,18,-0.0686908,-0.0625881,0.0414267,-0.0559434,0.287501,-0.0847163,-0.0198328
1,19,-0.00807007,0.128153,0.00614385,0.11921,0.0786342,0.0371597,-0.0257962
2,19,-0.0870388,0.137522,0.0120856,0.0575592,0.0920091,0.0409183,0.0150009
3,19,-0.133883,0.112097,0.0644037,-0.0359202,-0.00493033,0.0222053,-0.0422067
4,19,-0.0498962,0.140291,-0.0350059,0.0918738,0.00642524,0.0399804,0.0200911
5,19,-0.0681798,0.175188,-0.109342,-0.0198306,0.0108833,0.0508321,0.0170359
6,19,-0.06473,0.159387,0.0386698,0.058715,0.0862746,0.0413506,0.00663446
7,19,-0.0680542,0.221888,-0.170688,-0.0842612,0.0812046,0.0261683,0.0191974
1,20,-0.0210363,0.0462199,0.0917745,0.0445053,0.248753,-0.0372253,0.0219698
2,20,0.0720719,0.119842,0.0354387,-0.022426,-0.0297651,0.00133985,0.0136675
3,20,0.0265802,0.100082,0.00597402,-0.127597,0.184338,0.0312579,0.0107223
4,20,0.0163194,0.0373681,0.190893,-0.00971383,0.163917,0.0230365,-0.0142355
5,20,-0.0313882,0.0509315,0.0636805,-0.0347006,-0.131049,0.061581,0.0507429
6,20,0.0922332,0.15562,-0.0199571,-0.0596388,0.0273611,0.0065737,-0.0365845
7,20,0.0718901,0.201562,-0.0424417,-0.0415495,0.0729019,-0.0836315,0.0411968
1,21,-0.0436931,0.18179,0.0459461,-0.04933,0.0313352,0.158497,-0.019861
2,21,-0.0408042,0.0956673,0.142603,-0.0403163,0.081469,0.219844,-0.0421621
