rep,id,ka,V,k,k12,k21,km,Kpm
1,48,0.146148,12.8403,0.0981726,0.0419347,0.0471367,0.0324104,0.0988722
2,48,0.161217,14.5497,0.0777931,0.0477747,0.0460811,0.032257,0.0991129
3,48,0.151201,13.1172,0.097499,0.0440701,0.0484436,0.0296332,0.100811
4,48,0.138471,12.3623,0.103011,0.0484455,0.0586937,0.0306842,0.103709
5,48,0.138958,12.9588,0.0998573,0.0480906,0.036797,0.0346193,0.098938
6,48,0.160705,13.0654,0.10108,0.0484418,0.0464807,0.03181,0.0950512
7,48,0.147751,13.8323,0.0913204,0.048859,0.0444081,0.0307781,0.099068
1,49,0.211418,10.7955,0.101887,0.044736,0.0508182,0.0370889,0.0980325
2,49,0.198205,11.375,0.108468,0.0398574,0.0538268,0.0368316,0.0961389
3,49,0.195802,11.593,0.0941401,0.0422915,0.0515892,0.0373915,0.0998148
4,49,0.162612,10.7215,0.113049,0.0402978,0.056661,0.0346708,0.0989118
5,49,0.197813,10.961,0.100798,0.0436647,0.0547695,0.0349824,0.102018
6,49,0.191294,11.4014,0.100712,0.0419047,0.0429022,0.0375064,0.100552
7,49,0.200378,12.083,0.0930527,0.046564,0.0580737,0.0345493,0.0994363
1,50,0.175342,11.554,0.109799,0.0398135,0.042433,0.0268025,0.104417
2,50,0.183245,11.2939,0.107362,0.0432005,0.0431056,0.0288377,0.0993051
3,50,0.180852,13.0221,0.0969015,0.0415555,0.0507711,0.0271366,0.101707
4,50,0.19416,12.305,0.100629,0.0422371,0.0377127,0.0281377,0.0990865
5,50,0.193733,11.713,0.0925726,0.0371139,0.0413961,0.0287203,0.10061
6,50,0.183924,11.707,0.107871,0.0454037,0.0404237,0.0288146,0.103863
7,50,0.189426,11.5994,0.118963,0.0431297,0.0429289,0.026685,0.0982327
1,51,0.229872,10.7147,0.0906867,0.0397187,0.0536077,0.0249887,0.101412
2,51,0.201867,9.48615,0.0990936,0.0363486,0.0521201,0.0244223,0.0988387
3,51,0.221204,9.96039,0.0947645,0.0357033,0.0520251,0.0285544,0.101657
4,51,0.188689,9.37482,0.114866,0.0360535,0.0618687,0.0246666,0.0993478
5,51,0.22349,10.0018,0.0958388,0.0375958,0.0553995,0.0255375,0.100233
6,51,0.206443,9.72068,0.105096,0.0396616,0.0551441,0.0260883,0.101572
7,51,0.193075,9.50924,0.108409,0.0427608,0.0608547,0.0256205,0.105506
1,52,0.155436,11.8445,0.101949,0.0419207,0.0547181,0.0324978,0.101428
2,52,0.181965,12.147,0.0928682,0.0423404,0.06092,0.0314723,0.0968464
3,52,0.17023,12.276,0.096805,0.04054,0.0452973,0.0312193,0.0953822
4,52,0.15139,11.5915,0.104814,0.0357215,0.0412473,0.0312834,0.101262
5,52,0.158452,11.1253,0.115224,0.0445147,0.0608113,0.0306363,0.0985517
6,52,0.171147,11.8563,0.104534,0.041421,0.0508056,0.0330469,0.099527
7,52,0.164331,12.0293,0.0989489,0.045105,0.0493318,0.031841,0.0991348
1,53,0.191882,11.6146,0.102414,0.0408516,0.0553548,0.0360378,0.107435
2,53,0.188157,12.289,0.0996941,0.0312886,0.0482227,0.0330888,0.0989589
3,53,0.190142,11.9377,0.107408,0.0428268,0.0612141,0.0317384,0.102024
4,53,0.182472,11.216,0.114739,0.0408122,0.0530776,0.0349246,0.0996197
5,53,0.184097,12.5915,0.0964871,0.0405118,0.0504574,0.0374945,0.0989176
6,53,0.188635,12.216,0.10121,0.0442522,0.0582132,0.034712,0.0993762
7,53,0.206297,11.9984,0.108438,0.0397452,0.0487316,0.0351842,0.100456
1,54,0.193348,11.1702,0.0974294,0.0395808,0.0534217,0.0337904,0.0963463
2,54,0.190196,10.6943,0.0989444,0.048068,0.0568852,0.0333624,0.104073
3,54,0.175407,10.3142,0.104694,0.039964,0.0508912,0.0345304,0.101296
4,54,0.194074,11.4473,0.0960409,0.0368999,0.0480511,0.0338771,0.0974972
5,54,0.191959,11.5875,0.0905797,0.0400664,0.0540281,0.0343261,0.0997711
6,54,0.173161,10.7538,0.102749,0.0414554,0.0626755,0.0303603,0.100184
7,54,0.18344,10.5997,0.100026,0.0438416,0.0540694,0.03519,0.102783
1,55,0.194752,14.5996,0.114575,0.0424456,0.0600606,0.0334814,0.101273
2,55,0.200121,13.7366,0.107961,0.0443502,0.0429811,0.0357062,0.102749
3,55,0.193469,14.3133,0.116997,0.041353,0.045192,0.0355344,0.100081
4,55,0.187107,14.2996,0.110146,0.035534,0.048067,0.0330912,0.102994
5,55,0.215059,15.6727,0.0891572,0.0395899,0.0384698,0.0346141,0.0984181
6,55,0.204368,14.5631,0.115358,0.0397246,0.0467111,0.0332426,0.101794
7,55,0.224455,14.005,0.0977994,0.0389573,0.0531869,0.0325067,0.0992649
1,56,0.203888,10.1191,0.110703,0.0457385,0.0601949,0.0348071,0.101749
2,56,0.243551,10.687,0.0972719,0.0416361,0.0537753,0.0329165,0.0972972
3,56,0.193947,10.5342,0.0968886,0.0381882,0.0501497,0.0347357,0.103048
4,56,0.2082,10.1768,0.0967944,0.0375566,0.0526072,0.032471,0.0988518
5,56,0.195422,10.6818,0.0967679,0.0357172,0.0533316,0.0347482,0.102914
6,56,0.190561,9.75574,0.108178,0.0436207,0.0570559,0.0332254,0.0979211
7,56,0.18892,10.0551,0.106788,0.0416859,0.041252,0.0344477,0.0989806
1,57,0.187598,9.79275,0.11462,0.0427703,0.0365308,0.0260439,0.0994931
2,57,0.217052,10.7675,0.091131,0.0438774,0.0469856,0.0288883,0.10322
3,57,0.202948,10.1283,0.101911,0.0363731,0.0415261,0.0271063,0.101882
4,57,0.228183,10.8964,0.0863167,0.0418023,0.0503973,0.0266651,0.100302
5,57,0.208816,10.8709,0.0940721,0.0440395,0.0431475,0.0275056,0.0982404
6,57,0.239185,11.4057,0.0798761,0.0398285,0.0461215,0.0266562,0.100221
7,57,0.218561,10.9512,0.0917616,0.0433582,0.0444285,0.0264864,0.10136
1,58,0.214169,9.84742,0.107904,0.0426337,0.0533657,0.0304242,0.100498
2,58,0.216077,10.1838,0.104749,0.0504387,0.0508517,0.0297937,0.0978204
3,58,0.204989,10.865,0.095799,0.0420022,0.0612461,0.0311361,0.10057
4,58,0.204195,10.4089,0.0975962,0.0390025,0.0437304,0.0326582,0.101065
5,58,0.206159,10.5128,0.111916,0.0392087,0.0487813,0.0300584,0.0982075
6,58,0.201775,11.2206,0.0986331,0.0410364,0.0584799,0.0289967,0.096331
7,58,0.204227,10.8795,0.0978291,0.0414416,0.0447417,0.0302135,0.100708
1,59,0.233907,11.5421,0.0918106,0.0378172,0.0507714,0.0345419,0.101003
2,59,0.210141,10.9301,0.103525,0.0463039,0.0588904,0.0334171,0.100578
3,59,0.202097,11.2806,0.110348,0.0389998,0.0497385,0.0317006,0.100676
4,59,0.206685,11.2586,0.108533,0.0421264,0.0468625,0.0313281,0.101197
5,59,0.220611,11.7689,0.0931112,0.0369854,0.0567126,0.0325985,0.103672
6,59,0.195765,10.9034,0.104257,0.0385995,0.0516493,0.0314162,0.103474
7,59,0.193719,11.0009,0.106505,0.0360808,0.0485878,0.0335273,0.10182
1,60,0.228785,10.0333,0.100176,0.0449017,0.0436723,0.0329893,0.103248
2,60,0.203122,9.94596,0.103121,0.0442477,0.0444708,0.0307491,0.103306
3,60,0.236299,10.7932,0.0904671,0.0405808,0.0559319,0.0304711,0.102073
4,60,0.198405,9.69652,0.109299,0.0451059,0.0531848,0.0301863,0.104561
5,60,0.207997,9.90349,0.102329,0.0400717,0.0461275,0.0317333,0.099336
6,60,0.235793,10.2909,0.093124,0.0436157,0.0572483,0.0314926,0.101032
7,60,0.237756,10.134,0.102848,0.0441905,0.0474477,0.030496,0.10206
1,61,0.219109,12.0688,0.0979573,0.0463763,0.0576321,0.0295467,0.102071
2,61,0.209186,11.6235,0.0991054,0.0420952,0.0429644,0.0319466,0.100837
3,61,0.194321,10.8008,0.106496,0.0439363,0.0498123,0.0296532,0.108052
4,61,0.229062,11.1588,0.106055,0.0482439,0.0513463,0.0288924,0.0986576
5,61,0.185473,10.4717,0.11169,0.0404649,0.046607,0.0310082,0.100168
6,61,0.205678,11.4355,0.105438,0.0370293,0.0510759,0.031244,0.0985069
7,61,0.191327,11.0068,0.111964,0.0401371,0.0506001,0.0300352,0.10171
1,62,0.190471,13.5215,0.101926,0.0413204,0.0529289,0.0313307,0.104517
2,62,0.20404,14.072,0.099319,0.0425233,0.0530417,0.032497,0.102305
3,62,0.189208,12.5915,0.118286,0.0495488,0.0488628,0.0320128,0.102764
4,62,0.180137,12.5986,0.101896,0.0356324,0.0482995,0.0320049,0.0988428
5,62,0.193554,13.3594,0.10951,0.0407685,0.0523139,0.0283618,0.100131
6,62,0.192361,13.2237,0.100654,0.041653,0.046687,0.0336783,0.101105
7,62,0.194912,14.0151,0.0943824,0.0404218,0.0463117,0.0327508,0.101201
1,63,0.203008,12.5082,0.0971011,0.0391023,0.0478186,0.0358871,0.0967871
2,63,0.202612,11.5762,0.0953925,0.0449646,0.050418,0.0366421,0.102918
3,63,0.175961,11.1162,0.105766,0.0360672,0.0483155,0.0348383,0.0968111
4,63,0.221342,12.1153,0.0891254,0.0438148,0.0499783,0.0362587,0.0957385
5,63,0.190169,12.8626,0.0966714,0.0449766,0.0620966,0.0331222,0.0996165
6,63,0.184934,11.2375,0.113036,0.0424321,0.0543895,0.0358498,0.0962048
7,63,0.186721,11.2398,0.114226,0.0445715,0.0520782,0.0350028,0.10035
1,64,0.199691,12.2278,0.103017,0.0413445,0.0453674,0.029784,0.101103
2,64,0.20265,12.3268,0.0957501,0.0396512,0.0547817,0.0277478,0.103366
3,64,0.214489,12.1061,0.0993365,0.0408126,0.0519317,0.0289722,0.100563
4,64,0.194164,11.7602,0.0988978,0.0438774,0.0614984,0.0288781,0.104593
5,64,0.210629,12.3281,0.102211,0.0440535,0.0573424,0.0267435,0.100917
6,64,0.200303,11.6923,0.110302,0.0441341,0.0503206,0.0292174,0.102853
7,64,0.215689,12.6973,0.100229,0.0483474,0.0499236,0.0301204,0.104854
1,65,0.194157,10.2358,0.112076,0.0412045,0.0588139,0.0306206,0.101202
2,65,0.210357,11.2549,0.0959341,0.0365794,0.0515409,0.0277949,0.0986407
3,65,0.219182,11.6298,0.0988851,0.0382265,0.0573407,0.0284791,0.0980973
4,65,0.185808,10.6912,0.101642,0.0373369,0.0479331,0.0282257,0.09971
5,65,0.206244,11.3054,0.103893,0.0358472,0.0559759,0.0287461,0.0957499
6,65,0.218926,11.3787,0.099689,0.0400825,0.0614075,0.0262512,0.10229
7,65,0.193706,11.4781,0.096235,0.037622,0.059698,0.0288266,0.103127
1,66,0.225382,13.1848,0.108981,0.0427882,0.0543768,0.0279382,0.101332
2,66,0.23177,14.0086,0.10218,0.0399886,0.0479281,0.0261349,0.102116
3,66,0.228103,13.3511,0.112388,0.0444761,0.054326,0.0265566,0.0991898
4,66,0.255462,13.5201,0.107726,0.0447445,0.0502302,0.0261068,0.103058
5,66,0.232611,13.8498,0.108733,0.0379721,0.0508304,0.025342,0.099066
6,66,0.245188,13.7112,0.104172,0.0372548,0.0536082,0.0277508,0.102918
7,66,0.228038,13.2951,0.110871,0.0412298,0.0391236,0.0279244,0.0983881
1,67,0.191199,11.7737,0.104147,0.0389783,0.0454556,0.0270432,0.10198
2,67,0.186874,11.8065,0.097925,0.0408322,0.0487318,0.027619,0.101418
3,67,0.198748,11.1719,0.106747,0.0359633,0.0498159,0.0273068,0.101679
4,67,0.206852,11.8586,0.0982039,0.0379269,0.0529026,0.0280307,0.101052
5,67,0.219458,12.1036,0.0959841,0.0432098,0.0482074,0.0270974,0.0993435
6,67,0.197937,10.9937,0.105219,0.044698,0.0461183,0.0275086,0.103739
7,67,0.223738,11.5015,0.102995,0.0455492,0.0460387,0.0275543,0.10202
1,68,0.184248,10.5809,0.112628,0.0404699,0.0633197,0.0288844,0.0982174
2,68,0.185389,10.949,0.0927885,0.0411532,0.0498946,0.0291851,0.102867
3,68,0.193318,11.0273,0.0955156,0.0410692,0.0529533,0.0296453,0.101001
4,68,0.19116,10.7052,0.100491,0.0423628,0.0617634,0.0291605,0.103567
5,68,0.195031,10.4918,0.109545,0.0424489,0.0493089,0.028675,0.100075
6,68,0.223819,10.6849,0.0946872,0.0405189,0.0508187,0.0283008,0.0986415
7,68,0.204742,11.0291,0.100124,0.0376879,0.0475054,0.0295382,0.102613
1,69,0.212307,11.455,0.108873,0.0388764,0.0468132,0.0292132,0.0987651
2,69,0.220593,11.6444,0.103149,0.0420902,0.045953,0.0290553,0.10091
3,69,0.230068,11.5091,0.10514,0.0445719,0.0543166,0.0265719,0.099217
4,69,0.201479,11.4769,0.111141,0.0392726,0.0532235,0.0272104,0.0973741
5,69,0.236596,13.6812,0.0963208,0.0465766,0.0520659,0.0272075,0.103919
6,69,0.198342,11.5419,0.108784,0.0387411,0.0480352,0.0278879,0.103788
7,69,0.20196,11.2441,0.11522,0.0388655,0.0435093,0.0273244,0.100252
1,70,0.197504,12.2271,0.0936917,0.0416516,0.0513154,0.0285541,0.0977388
2,70,0.171196,11.4137,0.102847,0.0381444,0.0539196,0.0280839,0.100437
3,70,0.170238,11.4153,0.0976688,0.0385406,0.0580784,0.0277413,0.101937
4,70,0.169026,11.6106,0.102741,0.0401837,0.0590292,0.0273407,0.100601
5,70,0.172693,11.8976,0.102118,0.0379966,0.0654836,0.0278391,0.104529
6,70,0.172535,11.6178,0.0988962,0.0402538,0.0549893,0.0263598,0.101464
7,70,0.178239,11.7112,0.0957424,0.0368573,0.0588162,0.028671,0.100683
1,71,0.197635,10.4889,0.101199,0.039468,0.0441964,0.0341375,0.102634
2,71,0.204588,11.0195,0.103479,0.0498064,0.0497253,0.0336982,0.101091
3,71,0.188824,10.5855,0.0996435,0.0438962,0.039434,0.035545,0.100311
4,71,0.205434,10.2201,0.10773,0.0444033,0.0424592,0.0338282,0.0964729
5,71,0.186287,10.5754,0.114522,0.044132,0.0465489,0.03369,0.0996074
6,71,0.195011,10.9347,0.100096,0.0374106,0.0491431,0.0335057,0.0997199
7,71,0.202237,11.1887,0.0996658,0.0355622,0.0433864,0.0356185,0.0985165
1,72,0.219291,10.6201,0.107476,0.0428295,0.0548501,0.0302596,0.0986275
2,72,0.219521,10.2025,0.0943462,0.0390992,0.0464735,0.0314577,0.099579
3,72,0.203311,10.3498,0.107381,0.0494681,0.0492197,0.0299619,0.102323
4,72,0.213136,10.1813,0.0989055,0.0416032,0.0505168,0.0279404,0.10109
5,72,0.221935,11.027,0.0950723,0.0430205,0.0472646,0.0318859,0.0977054
6,72,0.225199,11.0255,0.0910671,0.0398929,0.0499925,0.0313162,0.103385
7,72,0.205985,10.5274,0.0993176,0.0384999,0.0512223,0.0309357,0.103232
1,73,0.208783,11.592,0.105378,0.0424949,0.0549791,0.0273874,0.0990642
2,73,0.213604,12.3477,0.102123,0.0448855,0.050107,0.0279546,0.0967091
3,73,0.188401,11.7624,0.106443,0.0375368,0.0493291,0.02786,0.0991535
4,73,0.205678,12.4317,0.0957671,0.0368646,0.0488651,0.027282,0.100128
5,73,0.190652,11.4222,0.107472,0.0434493,0.0450432,0.0301413,0.101295
6,73,0.203055,11.6146,0.109875,0.0407019,0.0477293,0.0292771,0.0994046
7,73,0.195356,11.7755,0.101518,0.0466145,0.0691993,0.0281083,0.101522
1,74,0.181842,12.021,0.0975748,0.0391929,0.0442709,0.0293016,0.101162
2,74,0.174517,11.7947,0.0943679,0.0342401,0.0500204,0.0286796,0.100774
3,74,0.187679,12.3304,0.0968447,0.0381583,0.0533748,0.0282038,0.100452
4,74,0.176725,11.7186,0.105979,0.0400373,0.0516304,0.028678,0.102143
5,74,0.178508,12.2883,0.0957635,0.0352166,0.0456564,0.0272982,0.105726
6,74,0.173708,12.6735,0.102201,0.0374631,0.056622,0.0279745,0.0999545
7,74,0.192622,12.3221,0.0875845,0.0358893,0.0465549,0.0308761,0.103711
1,75,0.202005,11.0146,0.0912056,0.0395014,0.0479112,0.030198,0.0994795
2,75,0.197641,9.745,0.102078,0.0427854,0.05599,0.0325946,0.0997084
3,75,0.201153,10.7342,0.0895218,0.039178,0.0443379,0.0299744,0.101178
4,75,0.214103,10.3396,0.0961146,0.0465784,0.0511681,0.028768,0.0994146
5,75,0.194759,9.77844,0.109187,0.0418774,0.050633,0.0319474,0.101843
6,75,0.194172,10.1018,0.104748,0.0408442,0.0478543,0.0278501,0.100103
7,75,0.185035,10.4715,0.0878387,0.0375517,0.0468071,0.0323168,0.0995054
1,76,0.24982,13.2183,0.111687,0.0432364,0.0600339,0.029676,0.101773
2,76,0.242403,12.3939,0.102842,0.0392298,0.0589796,0.0318977,0.0952134
3,76,0.233285,12.6397,0.111499,0.0430847,0.0480326,0.0321534,0.105275
4,76,0.229715,12.4832,0.107037,0.0415117,0.0598957,0.0305842,0.100083
5,76,0.250472,13.0418,0.108229,0.0468372,0.0492256,0.0326216,0.103191
6,76,0.228123,12.6036,0.111124,0.0384636,0.0550165,0.0335794,0.10199
7,76,0.212261,12.7595,0.115778,0.044,0.0538882,0.0309351,0.101744
1,77,0.181092,12.6579,0.10126,0.0406947,0.0353071,0.0281981,0.0968831
2,77,0.18546,12.563,0.10026,0.0442396,0.0454229,0.0271628,0.100759
3,77,0.173366,12.507,0.0986325,0.0398773,0.0476722,0.0317747,0.100801
4,77,0.180609,12.8756,0.0958499,0.0430314,0.0513399,0.029492,0.106059
5,77,0.173109,12.1404,0.109744,0.0416465,0.0466032,0.0305522,0.102633
6,77,0.178009,12.9473,0.0954842,0.0412799,0.0516222,0.0301653,0.105892
7,77,0.189004,12.5517,0.0973836,0.0398232,0.0520059,0.0296274,0.103702
1,78,0.170276,12.3812,0.11306,0.0435756,0.0524279,0.0304942,0.0997259
2,78,0.195469,13.1771,0.110596,0.043159,0.0494583,0.0304868,0.100237
3,78,0.186771,13.5726,0.102501,0.0390494,0.0498052,0.0300501,0.103334
4,78,0.196701,13.5831,0.0985294,0.0411352,0.0447584,0.0338937,0.100435
5,78,0.185743,13.9657,0.0961813,0.0477063,0.0491025,0.032372,0.103535
6,78,0.196448,12.7591,0.1091,0.0462794,0.0456468,0.0323078,0.102138
7,78,0.165924,12.6017,0.118641,0.0400592,0.0499371,0.0310258,0.103995
1,79,0.182758,11.8083,0.0995409,0.041467,0.0443637,0.0349395,0.105083
2,79,0.195326,12.6895,0.0988442,0.0376668,0.0506565,0.0344863,0.0992463
3,79,0.179628,10.9619,0.108934,0.0516151,0.0523378,0.0340358,0.103087
4,79,0.182824,11.2992,0.105541,0.0395486,0.0548506,0.0342891,0.0973498
5,79,0.185056,12.4785,0.100188,0.0427926,0.0452802,0.0352091,0.101881
6,79,0.191095,12.0287,0.0873828,0.0401951,0.0523614,0.0370986,0.108663
7,79,0.187892,12.1044,0.100585,0.0445362,0.0459486,0.0343295,0.0992927
1,80,0.173526,11.8084,0.0996265,0.0411851,0.0652722,0.0281315,0.0976419
2,80,0.178999,11.4146,0.0987799,0.0424246,0.0638098,0.0288698,0.102076
3,80,0.167856,11.3251,0.0970077,0.0370548,0.0525406,0.0279002,0.0994725
4,80,0.17553,11.8156,0.0905328,0.0452401,0.0557809,0.0270951,0.101608
5,80,0.160819,11.8245,0.0925333,0.0396381,0.0574125,0.0294705,0.105817
6,80,0.156929,11.4429,0.10007,0.0377178,0.0518173,0.0288159,0.104743
7,80,0.168901,11.7532,0.0927213,0.0401379,0.0688549,0.027798,0.101378
